Year,Week,Beat,District
2023,6,823,8.0
2021,17,1925,19.0
2019,7,922,9.0
2020,41,213,2.0
2023,39,1235,12.0
2023,14,2223,22.0
2021,43,433,4.0
2019,46,921,9.0
2020,44,1422,14.0
2019,40,1412,14.0
2022,11,1652,16.0
2021,40,512,5.0
2019,48,2522,25.0
2021,53,1031,10.0
2023,26,332,3.0
2023,30,733,7.0
2022,22,1634,16.0
2020,8,921,9.0
2019,4,1231,12.0
2022,28,1911,19.0
2022,10,334,3.0
2021,7,2011,20.0
2019,19,1652,16.0
2019,29,1224,12.0
2021,6,1821,18.0
2023,12,313,3.0
2020,14,1911,19.0
2020,5,132,1.0
2021,33,2422,24.0
2021,27,1132,11.0
2019,10,1434,14.0
2019,2,811,8.0
2022,17,231,2.0
2022,15,833,8.0
2020,19,715,7.0
2020,22,1411,14.0
2021,47,231,2.0
2020,6,1614,16.0
2021,12,825,8.0
2022,26,1924,19.0
2022,1,1014,10.0
2023,21,611,6.0
2023,23,925,9.0
2022,46,321,3.0
2019,26,1654,16.0
2020,11,1115,11.0
2021,50,225,2.0
2021,45,734,7.0
2019,15,624,6.0
2021,12,1131,11.0
2019,22,1412,14.0
2019,1,1023,10.0
2020,13,2531,25.0
2022,49,1211,12.0
2021,39,2412,24.0
2020,26,333,3.0
2022,22,1732,17.0
2020,1,1912,19.0
2022,46,1024,10.0
2019,44,725,7.0
2023,22,833,8.0
2019,23,712,7.0
2021,22,813,8.0
2023,9,2232,22.0
2019,38,734,7.0
2022,51,511,5.0
2023,1,512,5.0
2021,50,732,7.0
2019,6,734,7.0
2022,30,2531,25.0
2023,29,1532,15.0
2021,52,413,4.0
2023,13,2521,25.0
2019,34,531,5.0
2021,9,1111,11.0
2022,8,2023,20.0
2023,42,423,4.0
2022,6,1211,12.0
2021,26,321,3.0
2021,25,1611,16.0
2023,15,1032,10.0
2022,10,211,2.0
2022,31,2012,20.0
2020,17,1215,12.0
2022,35,321,3.0
2019,13,323,3.0
2022,40,1533,15.0
2020,10,2033,20.0
2019,48,212,2.0
2022,1,935,9.0
2020,25,1653,16.0
2019,31,1613,16.0
2019,24,2234,22.0
2022,35,225,2.0
2020,23,2433,24.0
2019,15,1732,17.0
2020,45,1723,17.0
2023,1,2411,24.0
2020,6,1421,14.0
2019,1,1122,11.0
2021,38,215,2.0
2020,37,1412,14.0
2023,43,424,4.0
2021,1,726,7.0
2021,12,726,7.0
2022,6,1533,15.0
2021,37,631,6.0
2020,38,112,1.0
2019,11,1821,18.0
2021,5,333,3.0
2020,51,524,5.0
2021,13,1833,18.0
2022,39,1122,11.0
2019,20,2514,25.0
2021,48,1225,12.0
2019,38,814,8.0
2021,8,2525,25.0
2020,49,1111,11.0
2020,32,112,1.0
2022,47,1113,11.0
2022,35,1022,10.0
2023,29,1021,10.0
2020,46,835,8.0
2021,27,1624,16.0
2022,44,124,1.0
2022,18,1115,11.0
2020,13,1634,16.0
2022,12,2233,22.0
2021,27,1821,18.0
2020,18,322,3.0
2020,4,414,4.0
2020,1,1433,14.0
2023,1,922,9.0
2022,29,411,4.0
2022,44,112,1.0
2023,25,1631,16.0
2019,44,2221,22.0
2022,21,1434,14.0
2020,30,821,8.0
2019,47,814,8.0
2021,37,2535,25.0
2019,42,1511,15.0
2022,4,1232,12.0
2020,28,834,8.0
2020,42,231,2.0
2021,32,1921,19.0
2019,42,2432,24.0
2021,37,833,8.0
2020,14,1024,10.0
2021,21,925,9.0
2021,53,1021,10.0
2019,44,1712,17.0
2020,2,232,2.0
2022,31,731,7.0
2019,9,1634,16.0
2019,5,1134,11.0
2021,47,423,4.0
2022,32,1422,14.0
2022,52,1513,15.0
2019,33,331,3.0
2021,1,221,2.0
2021,17,2432,24.0
2019,20,1724,17.0
2022,34,714,7.0
2021,26,2522,25.0
2019,34,832,8.0
2021,48,2515,25.0
2020,34,1021,10.0
2019,49,713,7.0
2020,36,1621,16.0
2023,41,1033,10.0
2020,38,1013,10.0
2023,16,1713,17.0
2022,44,2424,24.0
2021,8,2423,24.0
2022,1,931,9.0
2020,51,422,4.0
2023,10,332,3.0
2023,45,1813,18.0
2021,29,1034,10.0
2023,36,911,9.0
2023,44,913,9.0
2023,25,812,8.0
2020,32,1121,11.0
2020,28,1113,11.0
2020,37,1233,12.0
2021,20,2011,20.0
2020,36,223,2.0
2020,10,2423,24.0
2021,27,1231,12.0
2022,38,623,6.0
2022,11,121,1.0
2023,20,733,7.0
2021,32,233,2.0
2022,14,732,7.0
2021,14,726,7.0
2019,36,1811,18.0
2021,3,1821,18.0
2019,25,1724,17.0
2019,49,1731,17.0
2020,19,1722,17.0
2022,15,915,9.0
2021,23,925,9.0
2019,50,2433,24.0
2020,42,622,6.0
2019,7,1834,18.0
2019,19,1122,11.0
2022,40,1134,11.0
2020,15,1533,15.0
2020,10,1631,16.0
2020,27,111,1.0
2020,45,1832,18.0
2019,19,433,4.0
2020,14,731,7.0
2021,43,1733,17.0
2020,12,1424,14.0
2022,11,2232,22.0
2021,26,622,6.0
2023,44,1722,17.0
2021,2,2211,22.0
2019,2,1214,12.0
2019,11,531,5.0
2022,52,833,8.0
2019,40,1834,18.0
2019,20,122,1.0
2022,4,321,3.0
2021,2,432,4.0
2021,14,2515,25.0
2023,16,935,9.0
2020,44,1022,10.0
2020,34,1121,11.0
2023,31,611,6.0
2022,45,2525,25.0
2021,33,111,1.0
2020,4,631,6.0
2020,9,1214,12.0
2021,2,1211,12.0
2019,25,513,5.0
2023,28,1814,18.0
2020,6,1812,18.0
2019,29,424,4.0
2023,11,1832,18.0
2022,31,2533,25.0
2019,4,1711,17.0
2023,43,914,9.0
2020,7,724,7.0
2019,35,913,9.0
2021,36,1733,17.0
2021,39,1423,14.0
2019,30,2412,24.0
2022,37,1651,16.0
2023,24,722,7.0
2020,14,1654,16.0
2023,42,1652,16.0
2023,32,1111,11.0
2021,3,814,8.0
2020,21,1634,16.0
2020,29,1414,14.0
2021,46,1632,16.0
2020,19,1214,12.0
2023,52,1231,12.0
2022,1,1431,14.0
2021,13,1235,12.0
2019,14,1421,14.0
2019,22,1131,11.0
2023,26,231,2.0
2023,25,1731,17.0
2023,9,414,4.0
2019,37,2422,24.0
2023,6,1132,11.0
2019,26,2023,20.0
2023,22,1134,11.0
2021,14,1114,11.0
2020,40,123,1.0
2023,17,225,2.0
2022,17,1411,14.0
2021,10,414,4.0
2023,32,2213,22.0
2022,33,1131,11.0
2022,11,221,2.0
2023,1,2534,25.0
2022,40,2533,25.0
2020,43,114,1.0
2023,15,1911,19.0
2020,5,2232,22.0
2020,12,2012,20.0
2019,48,1221,12.0
2021,52,1612,16.0
2021,8,2024,20.0
2021,14,614,6.0
2022,44,925,9.0
2019,11,533,5.0
2020,31,934,9.0
2020,52,1652,16.0
2023,35,932,9.0
2021,4,1821,18.0
2020,32,711,7.0
2021,44,133,1.0
2020,17,2511,25.0
2021,7,1023,10.0
2020,31,533,5.0
2023,30,511,5.0
2022,9,2424,24.0
2022,35,715,7.0
2021,29,1923,19.0
2019,47,1925,19.0
2021,12,912,9.0
2019,26,2213,22.0
2021,49,1414,14.0
2022,19,1632,16.0
2022,36,813,8.0
2022,9,312,3.0
2023,10,1812,18.0
2020,48,523,5.0
2022,38,924,9.0
2023,8,1623,16.0
2021,31,1422,14.0
2022,48,1913,19.0
2020,19,1125,11.0
2023,37,2033,20.0
2023,18,735,7.0
2019,45,1232,12.0
2022,21,834,8.0
2020,25,511,5.0
2020,47,1622,16.0
2020,38,2433,24.0
2019,24,1024,10.0
2020,42,714,7.0
2020,25,1812,18.0
2022,14,821,8.0
2023,12,2211,22.0
2021,32,2211,22.0
2019,50,825,8.0
2022,19,1522,15.0
2019,46,2431,24.0
2021,14,824,8.0
2020,20,2413,24.0
2020,26,834,8.0
2022,18,1511,15.0
2021,27,624,6.0
2020,33,1433,14.0
2022,49,2533,25.0
2020,22,1113,11.0
2022,18,2013,20.0
2019,10,532,5.0
2019,46,411,4.0
2019,15,221,2.0
2022,12,722,7.0
2023,17,1511,15.0
2022,48,1722,17.0
2020,4,2023,20.0
2023,17,1513,15.0
2021,28,623,6.0
2020,41,1011,10.0
2022,49,1813,18.0
2023,31,712,7.0
2019,12,2422,24.0
2019,46,1733,17.0
2021,5,432,4.0
2022,34,725,7.0
2021,45,1922,19.0
2023,14,2521,25.0
2022,23,1034,10.0
2023,19,214,2.0
2023,9,913,9.0
2021,50,1833,18.0
2021,29,2532,25.0
2020,52,1833,18.0
2020,24,321,3.0
2019,22,2535,25.0
2020,3,2411,24.0
2019,41,1124,11.0
2023,14,811,8.0
2021,2,935,9.0
2019,50,523,5.0
2022,36,235,2.0
2021,34,821,8.0
2019,48,1033,10.0
2019,28,1713,17.0
2021,4,1111,11.0
2019,28,933,9.0
2023,11,1033,10.0
2019,34,1532,15.0
2023,37,1731,17.0
2019,40,1225,12.0
2021,4,121,1.0
2022,22,132,1.0
2019,32,2032,20.0
2020,6,1131,11.0
2020,3,1135,11.0
2019,6,1432,14.0
2023,44,1212,12.0
2021,11,1115,11.0
2021,10,1234,12.0
2019,24,132,1.0
2019,51,924,9.0
2019,52,612,6.0
2021,14,1412,14.0
2020,45,512,5.0
2019,14,831,8.0
2020,32,314,3.0
2021,51,1612,16.0
2023,43,513,5.0
2021,29,511,5.0
2022,26,1221,12.0
2023,25,131,1.0
2023,21,614,6.0
2020,9,1633,16.0
2019,23,1935,19.0
2023,41,1431,14.0
2022,2,823,8.0
2022,20,2433,24.0
2021,50,1522,10.0
2020,44,1033,10.0
2023,44,823,8.0
2019,21,2031,20.0
2020,45,1523,15.0
2020,51,933,9.0
2021,8,1225,12.0
2019,27,1654,16.0
2021,3,734,7.0
2021,10,2433,24.0
2023,2,222,2.0
2023,10,1724,17.0
2023,35,634,6.0
2022,18,1225,12.0
2023,41,932,9.0
2023,11,522,5.0
2023,36,2431,24.0
2021,32,1621,16.0
2023,9,2023,20.0
2020,2,231,2.0
2023,36,1813,18.0
2020,53,1434,14.0
2022,49,1225,12.0
2019,15,723,7.0
2019,51,1813,18.0
2021,15,1634,16.0
2021,6,211,2.0
2021,37,1123,11.0
2023,15,2521,25.0
2019,31,1834,18.0
2019,1,2222,22.0
2019,21,123,1.0
2021,35,731,7.0
2023,38,1123,11.0
2019,9,1523,15.0
2019,16,1731,17.0
2023,40,221,2.0
2019,33,411,4.0
2021,12,1511,15.0
2022,5,1632,16.0
2023,26,814,8.0
2021,11,714,7.0
2023,22,824,8.0
2023,4,1623,16.0
2022,13,713,7.0
2022,46,513,5.0
2019,20,715,7.0
2020,38,1834,18.0
2021,18,1014,10.0
2021,13,1511,15.0
2020,7,1421,14.0
2023,33,835,8.0
2022,8,2011,20.0
2019,6,1822,18.0
2020,53,2024,20.0
2020,48,1431,14.0
2020,22,1832,18.0
2023,38,811,8.0
2019,1,611,6.0
2022,3,712,7.0
2021,21,212,2.0
2019,39,1633,16.0
2020,7,2523,25.0
2021,42,835,8.0
2021,30,924,9.0
2019,40,812,8.0
2020,8,1421,14.0
2019,4,913,9.0
2021,20,1933,19.0
2021,2,413,4.0
2021,8,631,6.0
2023,15,634,6.0
2021,49,122,1.0
2023,27,921,9.0
2021,19,1653,16.0
2023,37,215,2.0
2020,22,1611,16.0
2021,42,733,7.0
2020,15,1633,16.0
2023,32,424,4.0
2020,13,313,3.0
2020,32,1925,19.0
2020,52,112,1.0
2020,43,1214,12.0
2021,50,215,2.0
2023,42,1412,14.0
2022,49,2522,25.0
2019,8,1932,19.0
2019,8,2412,24.0
2020,14,132,1.0
2021,30,421,4.0
2021,10,613,6.0
2023,21,121,1.0
2020,3,2525,25.0
2020,5,222,2.0
2023,29,2032,20.0
2022,40,523,5.0
2022,41,1212,12.0
2020,26,1135,11.0
2020,8,1433,14.0
2023,4,2023,20.0
2022,29,2533,25.0
2019,9,215,2.0
2022,21,1031,10.0
2022,50,225,2.0
2021,48,1134,11.0
2021,47,1033,10.0
2020,41,1511,15.0
2020,7,1115,11.0
2022,29,1631,16.0
2023,16,1423,14.0
2020,22,1524,15.0
2021,7,832,8.0
2020,32,925,9.0
2022,6,1032,10.0
2019,50,912,9.0
2022,9,1032,10.0
2020,43,2234,22.0
2023,9,731,7.0
2019,25,915,9.0
2022,24,434,4.0
2019,46,124,1.0
2019,13,2433,24.0
2023,17,2213,22.0
2019,6,1232,12.0
2019,50,214,2.0
2019,24,1221,12.0
2021,6,621,6.0
2019,16,1623,16.0
2020,45,824,8.0
2022,15,623,6.0
2023,4,1723,17.0
2021,9,1122,11.0
2020,31,2032,20.0
2019,46,1932,19.0
2022,31,332,3.0
2020,33,2431,24.0
2021,32,1512,15.0
2022,13,233,2.0
2023,35,232,2.0
2020,2,214,2.0
2023,12,1653,16.0
2019,25,434,4.0
2021,19,522,5.0
2019,4,1223,12.0
2020,20,113,1.0
2022,47,1913,19.0
2023,22,2022,20.0
2019,39,1133,11.0
2019,47,1811,18.0
2020,32,1624,16.0
2023,42,1125,11.0
2019,25,1234,12.0
2023,38,1432,14.0
2021,31,2514,25.0
2023,13,1424,14.0
2019,13,1112,11.0
2019,12,1032,10.0
2019,5,822,8.0
2020,10,2032,20.0
2023,6,915,9.0
2020,44,1233,12.0
2020,18,1731,17.0
2021,15,1422,14.0
2019,5,434,4.0
2019,50,1833,18.0
2022,41,2222,22.0
2021,11,1413,14.0
2022,36,1722,17.0
2020,51,1613,16.0
2022,19,825,8.0
2019,46,2522,25.0
2022,40,2535,25.0
2023,16,1632,16.0
2020,35,1133,11.0
2023,52,2233,22.0
2022,25,2023,20.0
2022,51,311,3.0
2022,25,1655,16.0
2023,1,634,6.0
2020,32,912,9.0
2023,36,1613,16.0
2019,18,634,6.0
2020,3,2535,25.0
2022,32,1654,16.0
2020,46,1631,16.0
2023,20,932,9.0
2021,53,321,3.0
2023,41,1533,15.0
2019,43,233,2.0
2021,2,1434,14.0
2021,50,131,1.0
2021,11,1724,17.0
2020,41,2412,24.0
2022,3,1811,18.0
2020,4,1232,12.0
2019,14,1414,14.0
2023,31,1821,18.0
2020,13,123,1.0
2020,24,2033,20.0
2021,20,233,2.0
2020,24,2524,25.0
2023,18,2532,25.0
2021,45,1222,12.0
2022,29,1024,10.0
2022,13,935,9.0
2023,25,232,2.0
2023,30,1723,17.0
2023,43,1614,16.0
2019,24,324,3.0
2021,2,231,2.0
2021,46,1724,17.0
2020,37,611,6.0
2020,45,2211,22.0
2022,2,1931,19.0
2020,23,235,2.0
2019,21,1911,19.0
2021,30,434,4.0
2023,27,1412,14.0
2021,30,112,1.0
2020,14,1034,10.0
2023,28,1112,11.0
2020,26,1121,11.0
2021,6,2032,20.0
2019,14,1031,10.0
2023,7,934,9.0
2020,6,1014,10.0
2020,19,1532,15.0
2020,49,2511,25.0
2020,24,422,4.0
2022,5,923,9.0
2020,36,1713,17.0
2021,46,2412,24.0
2020,12,1523,15.0
2022,48,2024,20.0
2021,6,1122,11.0
2020,5,631,6.0
2021,3,1211,12.0
2020,46,733,7.0
2019,20,935,9.0
2023,30,1414,14.0
2022,41,1113,11.0
2019,10,1713,17.0
2019,29,935,9.0
2022,43,1911,19.0
2021,31,612,6.0
2022,50,1834,18.0
2023,31,1423,14.0
2020,20,214,2.0
2020,49,1034,10.0
2023,20,1923,19.0
2022,35,1934,19.0
2020,27,733,7.0
2022,36,1033,10.0
2020,6,2012,20.0
2019,46,2213,22.0
2022,44,422,4.0
2020,39,1631,16.0
2021,37,234,2.0
2022,49,613,6.0
2019,14,1513,15.0
2019,11,1935,19.0
2023,38,713,7.0
2023,7,2022,20.0
2022,16,2233,22.0
2022,24,422,4.0
2021,6,2512,25.0
2022,17,1132,11.0
2022,16,835,8.0
2020,38,1612,16.0
2019,23,123,1.0
2021,2,1114,11.0
2022,33,211,2.0
2021,18,1233,12.0
2021,29,631,6.0
2020,9,123,1.0
2022,25,322,3.0
2022,4,1114,11.0
2022,10,935,9.0
2021,18,1913,19.0
2022,27,1123,11.0
2021,8,731,7.0
2020,30,1133,11.0
2022,5,1412,14.0
2021,49,2515,25.0
2023,3,433,4.0
2022,45,2032,20.0
2021,42,1113,11.0
2022,4,411,4.0
2020,9,732,7.0
2019,30,835,8.0
2019,48,1731,17.0
2019,22,1013,10.0
2023,8,215,2.0
2019,26,1524,15.0
2020,23,734,7.0
2020,24,2212,22.0
2023,40,2222,22.0
2020,5,1133,11.0
2021,16,522,5.0
2021,38,1911,19.0
2019,36,1831,18.0
2022,37,224,2.0
2023,1,1833,18.0
2021,3,1921,19.0
2023,6,1533,15.0
2022,33,113,1.0
2023,45,1215,12.0
2020,10,511,5.0
2019,5,1522,15.0
2022,41,2022,20.0
2022,42,815,8.0
2023,7,1833,18.0
2023,37,1122,11.0
2019,48,732,7.0
2023,40,1611,16.0
2019,33,1925,19.0
2021,46,2521,25.0
2020,21,2223,22.0
2020,33,1923,19.0
2023,40,2513,25.0
2023,30,314,3.0
2020,7,215,2.0
2022,3,222,2.0
2019,23,725,7.0
2021,42,915,9.0
2022,23,1834,18.0
2022,39,234,2.0
2023,44,1135,11.0
2020,1,815,8.0
2023,19,314,3.0
2020,8,531,5.0
2019,40,2011,20.0
2020,47,321,3.0
2023,5,233,2.0
2019,18,1915,19.0
2021,48,234,2.0
2021,48,123,1.0
2019,32,1235,12.0
2021,14,1711,17.0
2022,31,1724,17.0
2020,7,123,1.0
2019,4,2521,25.0
2021,11,1934,19.0
2021,31,1135,11.0
2021,42,712,7.0
2021,36,1622,16.0
2021,51,1653,16.0
2021,6,1812,18.0
2022,15,1651,16.0
2019,14,311,3.0
2023,26,1655,16.0
2022,9,2012,20.0
2020,6,722,7.0
2019,13,213,2.0
2023,26,124,1.0
2020,25,111,1.0
2022,49,413,4.0
2022,34,121,1.0
2021,24,1524,15.0
2020,29,1912,19.0
2021,42,1133,11.0
2021,48,2523,25.0
2019,30,1623,16.0
2023,7,1115,11.0
2021,37,431,4.0
2020,28,1933,19.0
2020,16,1234,12.0
2021,48,2522,25.0
2021,33,822,8.0
2020,19,1531,15.0
2020,49,2012,20.0
2021,17,824,8.0
2022,51,1115,11.0
2022,25,815,8.0
2022,14,1912,19.0
2022,40,1812,18.0
2021,22,532,5.0
2020,2,1422,14.0
2019,5,114,1.0
2021,26,413,4.0
2019,48,1611,16.0
2020,7,1633,16.0
2023,10,1624,16.0
2022,38,935,9.0
2022,23,724,7.0
2022,22,1133,11.0
2019,42,1832,18.0
2023,30,1111,11.0
2022,9,925,9.0
2021,32,1424,14.0
2019,2,1523,15.0
2020,30,1013,10.0
2020,2,711,7.0
2022,23,921,9.0
2022,27,2523,25.0
2021,31,2534,25.0
2020,1,1531,15.0
2021,48,1414,14.0
2021,7,1932,19.0
2021,30,1511,15.0
2022,46,2432,24.0
2019,47,1213,12.0
2020,14,2232,22.0
2023,39,2535,25.0
2020,34,235,2.0
2022,18,833,8.0
2020,45,114,1.0
2022,47,1824,18.0
2023,6,2512,25.0
2021,13,2232,22.0
2019,39,1223,12.0
2020,21,1933,19.0
2019,39,913,9.0
2019,47,235,2.0
2021,13,431,4.0
2021,44,2524,25.0
2022,9,714,7.0
2023,39,323,3.0
2020,8,1413,14.0
2019,42,1622,16.0
2019,52,531,5.0
2020,42,1235,12.0
2020,19,614,6.0
2021,32,822,8.0
2022,39,1423,14.0
2022,45,822,8.0
2021,32,832,8.0
2023,40,811,8.0
2020,17,233,2.0
2019,37,2033,20.0
2019,44,1125,11.0
2020,32,431,4.0
2019,5,413,4.0
2022,32,1424,14.0
2022,35,111,1.0
2021,28,1633,16.0
2021,26,621,6.0
2023,21,935,9.0
2020,39,925,9.0
2020,32,1612,16.0
2021,33,225,2.0
2023,3,733,7.0
2023,7,1824,18.0
2019,51,1225,12.0
2022,2,632,6.0
2020,43,1511,15.0
2022,8,434,4.0
2023,42,1421,14.0
2019,37,513,5.0
2023,20,121,1.0
2020,18,1732,17.0
2019,37,722,7.0
2022,21,2424,24.0
2023,6,713,7.0
2020,38,1913,19.0
2023,10,1431,14.0
2019,28,814,8.0
2019,43,2411,24.0
2019,1,1632,16.0
2023,52,431,4.0
2019,52,833,8.0
2023,11,2522,25.0
2023,1,223,2.0
2020,50,614,6.0
2023,28,222,2.0
2021,45,2532,25.0
2019,24,131,1.0
2021,22,2525,25.0
2021,35,1811,18.0
2019,23,121,1.0
2019,9,2531,25.0
2023,44,214,2.0
2020,36,2424,24.0
2023,39,1411,14.0
2022,21,233,2.0
2023,31,225,2.0
2021,35,1212,12.0
2020,27,2534,25.0
2023,35,224,2.0
2022,24,1931,19.0
2019,9,1925,19.0
2021,50,925,9.0
2023,45,713,7.0
2020,23,334,3.0
2019,33,834,8.0
2021,22,522,5.0
2021,17,2222,22.0
2022,40,2433,24.0
2022,24,2412,24.0
2022,6,2221,22.0
2021,29,424,4.0
2020,21,1414,14.0
2021,53,314,3.0
2019,17,1411,14.0
2021,48,2032,20.0
2020,17,433,4.0
2022,12,2424,24.0
2021,38,1523,15.0
2020,2,1133,11.0
2022,41,1031,10.0
2022,29,1225,12.0
2023,12,312,3.0
2023,10,833,8.0
2019,3,614,6.0
2019,30,122,1.0
2021,36,1814,18.0
2019,24,1915,19.0
2019,17,1524,15.0
2021,35,923,9.0
2022,28,732,7.0
2023,4,1421,14.0
2021,18,524,5.0
2020,14,523,5.0
2023,20,725,7.0
2019,12,1712,17.0
2023,14,723,7.0
2020,24,1634,16.0
2021,44,1222,12.0
2021,10,725,7.0
2020,40,1611,16.0
2021,35,815,8.0
2022,12,814,8.0
2019,31,725,7.0
2022,31,1131,11.0
2022,40,312,3.0
2020,38,1723,17.0
2022,10,1833,18.0
2019,9,1114,11.0
2021,39,1812,18.0
2022,42,312,3.0
2021,43,1112,11.0
2019,19,1414,14.0
2020,53,421,4.0
2020,40,812,8.0
2021,38,1814,18.0
2021,5,423,4.0
2022,8,1532,15.0
2021,25,231,2.0
2020,7,1924,19.0
2019,40,132,1.0
2020,26,1022,10.0
2022,13,334,3.0
2021,19,215,2.0
2022,31,1233,12.0
2021,3,215,2.0
2021,2,1532,15.0
2023,15,524,5.0
2021,49,423,4.0
2019,43,1234,12.0
2019,31,1624,16.0
2022,45,1114,11.0
2023,6,1022,10.0
2020,10,411,4.0
2023,20,1533,15.0
2023,5,713,7.0
2022,3,2512,25.0
2022,15,2513,25.0
2019,9,132,1.0
2021,18,423,4.0
2020,32,824,8.0
2020,27,1114,11.0
2019,26,2212,22.0
2020,4,1235,12.0
2021,30,2525,25.0
2019,43,1655,16.0
2022,11,2511,25.0
2019,39,832,8.0
2019,47,1224,12.0
2019,30,114,1.0
2020,16,1812,18.0
2023,15,1432,14.0
2023,13,523,5.0
2022,3,2534,25.0
2021,33,1653,16.0
2019,48,623,6.0
2022,25,433,4.0
2019,4,2233,22.0
2020,33,1513,15.0
2020,14,932,9.0
2023,20,1022,10.0
2020,41,633,6.0
2021,28,112,1.0
2022,51,1523,15.0
2023,17,2221,22.0
2019,48,2012,20.0
2021,6,915,9.0
2019,51,431,4.0
2023,19,1722,17.0
2019,47,2033,20.0
2022,10,2523,25.0
2021,31,312,3.0
2020,29,431,4.0
2021,27,1924,19.0
2023,31,2533,25.0
2021,13,1732,17.0
2023,28,733,7.0
2022,3,1215,12.0
2020,40,333,3.0
2023,30,524,5.0
2020,41,714,7.0
2022,3,233,2.0
2020,15,835,8.0
2020,12,2412,24.0
2023,31,324,3.0
2019,34,932,9.0
2022,31,1513,15.0
2021,9,1713,17.0
2023,12,1023,10.0
2023,2,714,7.0
2020,6,1912,19.0
2023,6,1513,15.0
2020,30,1115,11.0
2023,2,1722,17.0
2022,23,1023,10.0
2020,3,1524,15.0
2023,25,1212,12.0
2023,7,2033,20.0
2021,35,1723,17.0
2021,22,726,7.0
2022,30,1033,10.0
2021,24,215,2.0
2020,33,2523,25.0
2023,15,434,4.0
2022,17,513,5.0
2022,4,122,1.0
2019,43,1034,10.0
2023,13,922,9.0
2020,34,1722,17.0
2023,14,612,6.0
2019,5,622,6.0
2019,44,123,1.0
2020,41,1034,10.0
2022,7,1732,17.0
2019,25,511,5.0
2023,52,2032,20.0
2021,45,732,7.0
2022,29,1912,19.0
2020,17,1932,19.0
2021,30,1432,14.0
2021,33,1434,14.0
2022,33,1422,14.0
2023,43,523,5.0
2022,45,733,7.0
2020,18,324,3.0
2021,26,2431,24.0
2022,25,1634,16.0
2021,15,423,4.0
2023,13,1923,19.0
2023,18,935,9.0
2019,1,223,2.0
2021,35,1935,19.0
2020,19,321,3.0
2021,24,124,1.0
2021,7,1421,14.0
2020,29,1924,19.0
2019,10,1124,11.0
2023,42,824,8.0
2021,9,915,9.0
2022,14,1031,10.0
2021,13,511,5.0
2020,27,1823,18.0
2020,19,1213,12.0
2019,29,332,3.0
2023,20,1834,18.0
2021,34,1124,11.0
2022,18,1613,16.0
2023,18,1012,10.0
2020,42,214,2.0
2021,40,1934,19.0
2019,42,1532,15.0
2023,10,1650,16.0
2020,40,112,1.0
2019,24,1214,12.0
2023,20,322,3.0
2020,41,1711,17.0
2021,21,634,6.0
2022,26,524,5.0
2021,40,113,1.0
2022,2,932,9.0
2019,4,1224,12.0
2019,39,1831,18.0
2019,26,1513,15.0
2023,34,533,5.0
2022,6,122,1.0
2022,39,2512,25.0
2022,41,924,9.0
2021,45,1513,15.0
2021,9,331,3.0
2022,22,2013,20.0
2020,32,1412,14.0
2023,32,1135,11.0
2023,42,2223,22.0
2022,14,1652,16.0
2021,43,833,8.0
2022,46,633,6.0
2023,36,225,2.0
2022,35,1031,10.0
2023,4,1523,15.0
2021,12,215,2.0
2020,48,1224,12.0
2019,9,1032,10.0
2020,44,921,9.0
2019,45,321,3.0
2021,38,923,9.0
2021,44,1433,14.0
2023,29,1723,17.0
2023,35,1423,14.0
2020,39,1213,12.0
2021,15,2515,25.0
2019,15,1621,16.0
2021,28,231,2.0
2020,2,1533,15.0
2020,41,1013,10.0
2019,51,821,8.0
2022,49,824,8.0
2019,26,2233,22.0
2020,12,1232,12.0
2020,9,1021,10.0
2021,21,1033,10.0
2022,16,1411,14.0
2023,36,2222,22.0
2021,47,832,8.0
2020,6,2223,22.0
2020,11,932,9.0
2019,10,2411,24.0
2020,24,1822,18.0
2020,11,1224,12.0
2023,1,314,3.0
2023,38,1921,19.0
2021,3,1414,14.0
2019,33,1621,16.0
2020,20,1123,11.0
2020,13,821,8.0
2021,5,2522,25.0
2023,35,931,9.0
2023,32,133,1.0
2019,3,314,3.0
2021,3,411,4.0
2021,29,1912,19.0
2020,44,1911,19.0
2022,40,824,8.0
2021,40,523,5.0
2023,23,1915,19.0
2021,33,1913,19.0
2019,49,1932,19.0
2019,29,2011,20.0
2019,15,1012,10.0
2023,9,2013,20.0
2019,50,2013,20.0
2020,50,2222,22.0
2020,24,1133,11.0
2019,28,1124,11.0
2023,23,724,7.0
2021,43,1925,19.0
2019,6,2431,24.0
2022,5,1532,15.0
2020,50,1423,14.0
2023,36,1432,14.0
2022,37,1523,15.0
2023,44,324,3.0
2023,29,1411,14.0
2022,1,822,8.0
2020,53,735,7.0
2023,25,1233,12.0
2021,28,1911,19.0
2019,36,1522,15.0
2019,32,1732,17.0
2023,8,1732,17.0
2021,46,2534,25.0
2023,20,1623,16.0
2022,27,1823,18.0
2022,34,2033,20.0
2020,9,1413,14.0
2023,39,1913,19.0
2022,31,822,8.0
2022,29,312,3.0
2021,3,433,4.0
2023,24,412,4.0
2023,4,631,6.0
2023,7,1653,16.0
2022,44,1723,17.0
2021,23,1235,12.0
2020,7,1655,16.0
2020,53,524,5.0
2020,22,631,6.0
2019,17,212,2.0
2023,27,1012,10.0
2023,1,1923,19.0
2020,3,832,8.0
2019,13,1712,17.0
2020,16,1811,18.0
2019,28,623,6.0
2019,14,1011,10.0
2019,52,2512,25.0
