Year,Week,Beat,District
2021,13,1934,19.0
2022,4,1113,11.0
2022,10,1115,11.0
2023,11,212,2.0
2020,20,312,3.0
2020,4,1632,16.0
2023,14,1723,17.0
2019,7,2022,20.0
2022,28,112,1.0
2021,3,1824,18.0
2022,48,932,9.0
2023,25,1814,18.0
2020,34,2432,24.0
2021,35,1414,14.0
2020,14,421,4.0
2020,47,1613,16.0
2020,10,1422,14.0
2019,17,1655,16.0
2022,6,213,2.0
2021,44,1813,18.0
2019,37,631,6.0
2020,3,2011,20.0
2023,40,1935,19.0
2021,8,1412,14.0
2023,27,1123,11.0
2019,46,1631,16.0
2021,25,233,2.0
2023,16,821,8.0
2020,15,1231,12.0
2020,50,1115,11.0
2019,13,2531,25.0
2022,29,2024,20.0
2020,34,531,5.0
2023,15,1422,14.0
2022,52,215,2.0
2020,52,1531,15.0
2021,32,1532,15.0
2023,42,912,9.0
2022,39,1411,14.0
2022,42,235,2.0
2021,35,2511,25.0
2021,42,2023,20.0
2022,36,221,2.0
2020,36,925,9.0
2023,8,224,2.0
2023,4,735,7.0
2022,47,131,1.0
2022,30,431,4.0
2020,1,725,7.0
2023,26,131,1.0
2019,43,1233,12.0
2019,19,213,2.0
2020,39,532,5.0
2021,12,1421,14.0
2019,21,424,4.0
2020,36,1933,19.0
2020,24,1212,12.0
2021,39,1225,12.0
2020,41,225,2.0
2023,17,523,5.0
2021,9,1423,14.0
2020,47,914,9.0
2023,30,834,8.0
2019,50,1431,18.0
2022,23,1024,10.0
2023,21,623,6.0
2020,33,1524,15.0
2023,33,312,3.0
2019,40,1731,17.0
2022,44,1731,17.0
2019,24,912,9.0
2022,18,715,7.0
2020,52,212,2.0
2019,18,822,8.0
2022,14,2223,22.0
2020,19,1413,14.0
2019,45,934,9.0
2020,24,1934,19.0
2019,17,113,1.0
2019,8,1222,12.0
2021,46,823,8.0
2020,3,2012,20.0
2020,34,712,7.0
2022,21,2031,20.0
2022,39,1935,19.0
2019,24,1021,10.0
2021,14,1135,11.0
2020,28,2531,25.0
2019,7,1733,17.0
2020,9,622,6.0
2021,6,1532,15.0
2022,21,832,8.0
2021,35,2221,22.0
2019,37,1633,16.0
2019,52,1214,12.0
2021,43,2212,22.0
2022,22,1934,19.0
2019,25,1123,11.0
2021,47,722,7.0
2021,39,1612,16.0
2019,44,1235,12.0
2022,14,1935,19.0
2019,33,2515,25.0
2021,47,613,6.0
2023,52,1421,14.0
2023,6,121,1.0
2019,38,234,2.0
2020,40,734,7.0
2019,47,933,9.0
2023,2,722,7.0
2019,26,925,9.0
2019,7,1224,12.0
2019,50,2522,25.0
2023,33,1924,19.0
2020,52,413,4.0
2022,41,1832,18.0
2020,2,2432,24.0
2019,35,1022,10.0
2021,53,412,4.0
2022,18,734,7.0
2019,31,731,7.0
2023,37,1031,10.0
2020,28,623,6.0
2023,6,1012,10.0
2022,5,711,7.0
2023,29,2532,25.0
2020,48,1021,10.0
2021,9,1511,15.0
2021,29,1231,12.0
2020,28,2032,20.0
2022,10,2233,22.0
2021,7,712,7.0
2020,47,331,3.0
2020,1,2534,25.0
2019,17,2531,25.0
2023,35,1421,14.0
2022,47,531,5.0
2019,50,1924,19.0
2019,21,915,9.0
2020,2,1632,16.0
2022,7,1813,18.0
2020,4,1224,12.0
2021,3,825,8.0
2021,34,1732,17.0
2023,14,2512,25.0
2019,9,2412,24.0
2020,42,1813,18.0
2022,11,1122,11.0
2023,34,2535,25.0
2022,47,2535,25.0
2022,52,1213,12.0
2020,24,1611,16.0
2023,9,1113,11.0
2020,35,1512,15.0
2019,22,723,7.0
2020,18,1021,10.0
2023,40,824,8.0
2021,50,422,4.0
2023,23,1214,12.0
2021,7,715,7.0
2023,12,833,8.0
2021,42,1655,16.0
2023,30,621,6.0
2019,4,923,9.0
2022,25,1213,12.0
2019,29,225,2.0
2019,52,1612,16.0
2019,34,1624,16.0
2020,30,1213,12.0
2019,40,2013,20.0
2022,35,725,7.0
2022,29,711,7.0
2021,9,224,2.0
2020,33,1225,12.0
2020,21,1434,14.0
2020,51,1823,18.0
2021,9,1432,14.0
2020,20,211,2.0
2019,43,922,9.0
2023,30,835,8.0
2019,31,613,6.0
2022,30,1131,11.0
2020,35,123,1.0
2023,40,333,3.0
2021,3,924,9.0
2021,42,1524,15.0
2021,40,2232,22.0
2023,18,1512,15.0
2021,47,921,9.0
2022,23,1912,19.0
2021,27,2524,25.0
2019,44,1513,15.0
2023,39,1935,19.0
2023,22,1434,14.0
2020,6,212,2.0
2023,33,1414,14.0
2021,39,133,1.0
2022,2,532,5.0
2020,50,1651,16.0
2020,14,1215,12.0
2021,10,1934,19.0
2022,39,1722,17.0
2020,8,1511,15.0
2023,4,1632,16.0
2020,51,314,3.0
2023,9,1921,19.0
2019,4,1823,18.0
2019,13,1623,16.0
2019,24,224,2.0
2021,45,1632,16.0
2019,15,1024,10.0
2020,34,1014,10.0
2023,33,931,9.0
2023,29,631,6.0
2020,34,2533,25.0
2023,42,1623,16.0
2020,46,235,2.0
2021,34,611,6.0
2021,31,722,7.0
2019,33,822,8.0
2022,34,913,9.0
2020,50,1924,19.0
2019,32,321,3.0
2023,15,2011,20.0
2020,16,1914,19.0
2023,42,732,7.0
2020,51,623,6.0
2020,50,1131,10.0
2019,40,722,7.0
2020,2,211,2.0
2022,52,2514,25.0
2020,15,1033,10.0
2021,17,511,5.0
2023,11,422,4.0
2022,17,1125,11.0
2020,37,1215,12.0
2023,26,933,9.0
2022,20,1712,17.0
2021,27,2522,25.0
2019,21,2533,25.0
2023,44,112,1.0
2023,1,824,8.0
2022,23,1711,17.0
2022,16,1631,16.0
2020,51,424,4.0
2021,40,2531,25.0
2020,45,2523,25.0
2021,34,1225,12.0
2023,29,824,8.0
2021,46,2011,20.0
2019,49,2022,20.0
2020,49,922,9.0
2019,17,2022,20.0
2021,48,2023,20.0
2021,10,1134,11.0
2023,36,1034,10.0
2021,11,1821,18.0
2022,22,621,6.0
2020,9,2013,20.0
2020,36,734,7.0
2021,19,1411,14.0
2021,20,1634,16.0
2019,18,112,1.0
2019,16,1132,11.0
2023,32,2424,24.0
2020,40,634,6.0
2023,9,1434,14.0
2020,22,833,8.0
2020,35,1411,14.0
2023,19,412,4.0
2020,21,233,2.0
2020,25,611,6.0
2019,41,832,8.0
2023,21,1122,11.0
2022,17,221,2.0
2023,33,1433,14.0
2019,50,413,4.0
2021,40,2513,25.0
2022,14,1512,15.0
2023,37,1733,17.0
2020,38,1933,19.0
2019,45,1724,17.0
2019,37,2221,22.0
2021,20,2233,22.0
2022,45,1414,14.0
2023,3,223,2.0
2019,32,2022,20.0
2023,26,722,7.0
2022,8,2413,24.0
2021,9,622,6.0
2023,6,1111,11.0
2022,3,614,6.0
2021,31,1923,19.0
2020,12,313,3.0
2021,30,632,6.0
2019,2,2531,25.0
2023,9,923,9.0
2021,2,314,3.0
2019,20,1922,19.0
2020,25,1633,16.0
2023,24,111,1.0
2022,40,1513,15.0
2023,28,915,9.0
2022,41,511,5.0
2022,21,1812,18.0
2023,4,431,4.0
2023,44,1731,17.0
2021,30,1012,10.0
2020,30,1912,19.0
2023,27,1414,14.0
2021,31,1115,11.0
2023,23,631,6.0
2022,15,332,3.0
2023,8,1513,15.0
2019,24,1124,11.0
2021,20,1231,12.0
2019,38,333,3.0
2023,9,725,7.0
2022,6,2031,20.0
2019,13,624,6.0
2019,25,815,8.0
2020,29,1623,16.0
2019,45,1233,12.0
2022,24,1834,18.0
2022,1,432,4.0
2023,21,1212,12.0
2021,45,634,6.0
2022,11,715,7.0
2020,19,813,8.0
2021,50,1433,14.0
2020,29,2534,25.0
